DFR_Deferred_Error_APIC_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;6_IO-APIC_6-edge_floppy_CPU2;12_IO-APIC_12-edge_i8042_CPU0;TLB_TLB_shootdowns_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;6_IO-APIC_6-edge_floppy_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;NMI_Non-maskable_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU2;IWI_IRQ_work_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;SPU_Spurious_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;RTR_APIC_ICR_read_retries_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;TLB_TLB_shootdowns_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;TRM_Thermal_event_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;PMI_Performance_monitoring_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;12_IO-APIC_12-edge_i8042_CPU1;LOC_Local_timer_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;PIN_Posted-interrupt_notification_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;MIS_CPU0;MCE_Machine_check_exceptions_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCE_Machine_check_exceptions_CPU1;MCP_Machine_check_polls_CPU2;NPI_Nested_posted-interrupt_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;IWI_IRQ_work_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;RES_Rescheduling_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;NMI_Non-maskable_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;MCP_Machine_check_polls_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;CAL_Function_call_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;MCE_Machine_check_exceptions_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;RES_Rescheduling_interrupts_CPU0;CAL_Function_call_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;SPU_Spurious_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;timestamp_us;THR_Threshold_APIC_interrupts_CPU1;RES_Rescheduling_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;THR_Threshold_APIC_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;TLB_TLB_shootdowns_CPU1;LOC_Local_timer_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;RTR_APIC_ICR_read_retries_CPU1;MCP_Machine_check_polls_CPU1;PMI_Performance_monitoring_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;THR_Threshold_APIC_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;12_IO-APIC_12-edge_i8042_CPU2;ERR_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;PIN_Posted-interrupt_notification_event_CPU1
0;0;5;0;15;0;0;363661;46437;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360987;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;11011992;0;6;0;0;0;0;0;0;0;439530;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;363912;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361238;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;12013014;0;6;0;0;0;0;0;0;0;440723;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;364163;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361489;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;13014037;0;6;0;0;0;0;0;0;0;441918;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;364414;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361741;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;14015065;0;6;0;0;0;0;0;0;0;443113;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;364664;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361992;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;15016074;0;6;0;0;0;0;0;0;0;444306;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;364914;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362243;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;16017094;0;6;0;0;0;0;0;0;0;445500;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;365165;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362494;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;17018126;0;6;0;0;0;0;0;0;0;446695;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;365415;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362746;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;18019142;0;6;0;0;0;0;0;0;0;447890;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;365665;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362997;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;19020163;0;6;0;0;0;0;0;0;0;449085;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;365915;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363248;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;20021181;0;6;0;0;0;0;0;0;0;450279;0;0;1;0;0;1;0;0;0;0;0;0
0;0;6;0;15;0;0;366168;46437;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363499;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;9822;0;0;0;0;56488;9823;0;0;0;0;0;21022200;0;6;0;0;0;0;0;0;0;451474;0;0;1;0;0;1;0;0;0;0;0;0
