RTR_APIC_ICR_read_retries_CPU2;6_IO-APIC_6-edge_floppy_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU1;SPU_Spurious_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;TRM_Thermal_event_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;SPU_Spurious_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;LOC_Local_timer_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PMI_Performance_monitoring_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU2;CAL_Function_call_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;LOC_Local_timer_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;RES_Rescheduling_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;LOC_Local_timer_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;TLB_TLB_shootdowns_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;THR_Threshold_APIC_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;NPI_Nested_posted-interrupt_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIN_Posted-interrupt_notification_event_CPU1;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;MCP_Machine_check_polls_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;RES_Rescheduling_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;TLB_TLB_shootdowns_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;12_IO-APIC_12-edge_i8042_CPU0;6_IO-APIC_6-edge_floppy_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU0;THR_Threshold_APIC_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PIN_Posted-interrupt_notification_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;1_IO-APIC_1-edge_i8042_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;NPI_Nested_posted-interrupt_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;ERR_CPU0;NMI_Non-maskable_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;MCP_Machine_check_polls_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;NMI_Non-maskable_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;TLB_TLB_shootdowns_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;IWI_IRQ_work_interrupts_CPU1;MIS_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;PMI_Performance_monitoring_interrupts_CPU2;MCP_Machine_check_polls_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;IWI_IRQ_work_interrupts_CPU2;timestamp_us;12_IO-APIC_12-edge_i8042_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2
0;2;0;6;0;0;0;9;0;0;177;0;0;0;731382;0;0;0;0;0;0;0;0;0;0;0;728192;0;0;60795;0;0;0;0;0;1934541;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;11012013;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;731634;0;0;0;0;0;0;0;0;0;0;0;728443;0;0;60795;0;0;0;0;0;1935734;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;12013031;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;731887;0;0;0;0;0;0;0;0;0;0;0;728694;0;0;60795;0;0;0;0;0;1936928;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;13014055;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;732137;0;0;0;0;0;0;0;0;0;0;0;728946;0;0;60795;0;0;0;0;0;1938122;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;14015072;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;732387;0;0;0;0;0;0;0;0;0;0;0;729197;0;0;60795;0;0;0;0;0;1939317;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;15016090;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;732638;0;0;0;0;0;0;0;0;0;0;0;729448;0;0;60795;0;0;0;0;0;1940510;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;16017115;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;732892;0;0;0;0;0;0;0;0;0;0;0;729699;0;0;60795;0;0;0;0;0;1941705;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;17018139;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;733143;0;0;0;0;0;0;0;0;0;0;0;729951;0;0;60795;0;0;0;0;0;1942899;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;18019162;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;733394;0;0;0;0;0;0;0;0;0;0;0;730202;0;0;60795;0;0;0;0;0;1944094;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;19020194;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;733645;0;0;0;0;0;0;0;0;0;0;0;730453;0;0;60795;0;0;0;0;0;1945288;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;20021208;0;0;0;0
0;2;0;6;0;0;0;9;0;0;178;0;0;0;733897;0;0;0;0;0;0;0;0;0;0;0;730704;0;0;60795;0;0;0;0;0;1946483;0;0;0;0;0;0;0;0;0;0;46249;0;1;0;9207;0;1;0;0;0;8;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;9206;0;0;0;0;0;0;0;1;0;0;0;21022228;0;0;0;0
