IWI_IRQ_work_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCP_Machine_check_polls_CPU2;12_IO-APIC_12-edge_i8042_CPU2;NMI_Non-maskable_interrupts_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;6_IO-APIC_6-edge_floppy_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;RTR_APIC_ICR_read_retries_CPU1;LOC_Local_timer_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;timestamp_us;14_IO-APIC_14-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU0;6_IO-APIC_6-edge_floppy_CPU1;TRM_Thermal_event_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;ERR_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;PIN_Posted-interrupt_notification_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;RTR_APIC_ICR_read_retries_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU0;TRM_Thermal_event_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;NPI_Nested_posted-interrupt_event_CPU1;TLB_TLB_shootdowns_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU1;RES_Rescheduling_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;MCE_Machine_check_exceptions_CPU1;MCE_Machine_check_exceptions_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;THR_Threshold_APIC_interrupts_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;THR_Threshold_APIC_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;CAL_Function_call_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;PMI_Performance_monitoring_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU0;CAL_Function_call_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;TLB_TLB_shootdowns_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU1;6_IO-APIC_6-edge_floppy_CPU0;MIS_CPU0;NPI_Nested_posted-interrupt_event_CPU0;TRM_Thermal_event_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;PMI_Performance_monitoring_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;NMI_Non-maskable_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;SPU_Spurious_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;THR_Threshold_APIC_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;RES_Rescheduling_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;MCP_Machine_check_polls_CPU0;MCP_Machine_check_polls_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;1_IO-APIC_1-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;12_IO-APIC_12-edge_i8042_CPU1;NMI_Non-maskable_interrupts_CPU1
0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;1267598;0;11012034;0;0;0;0;0;0;1271556;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4142445;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1267849;0;12013060;0;0;0;0;0;0;1271808;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4143638;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1268100;0;13014077;0;0;0;0;0;0;1272059;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4144833;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1268352;0;14015103;0;0;0;0;0;0;1272310;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4146026;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1268603;0;15016121;0;0;0;0;0;0;1272561;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4147219;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1268854;0;16017142;0;0;0;0;0;0;1272812;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4148414;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1269105;0;17018170;0;0;0;0;0;0;1273065;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4149609;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1269357;0;18019189;0;0;0;0;0;0;1273316;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4150803;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1269608;0;19020218;0;0;0;0;0;0;1273567;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4151997;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1269859;0;20021239;0;0;0;0;0;0;1273819;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4153190;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;1270111;0;21022259;0;0;0;0;0;0;1274069;0;3;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;67041;0;0;0;15;0;0;4154386;0;0;9189;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;47172;273;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0
