IWI_IRQ_work_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;6_IO-APIC_6-edge_floppy_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;TRM_Thermal_event_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;SPU_Spurious_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;NPI_Nested_posted-interrupt_event_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU0;NMI_Non-maskable_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;CAL_Function_call_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;IWI_IRQ_work_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;THR_Threshold_APIC_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;TLB_TLB_shootdowns_CPU0;1_IO-APIC_1-edge_i8042_CPU1;MIS_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCP_Machine_check_polls_CPU1;TLB_TLB_shootdowns_CPU1;RTR_APIC_ICR_read_retries_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU0;NMI_Non-maskable_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;MCP_Machine_check_polls_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;RES_Rescheduling_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;MCE_Machine_check_exceptions_CPU1;RTR_APIC_ICR_read_retries_CPU1;ERR_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;SPU_Spurious_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;12_IO-APIC_12-edge_i8042_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;CAL_Function_call_interrupts_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TLB_TLB_shootdowns_CPU2;PIN_Posted-interrupt_notification_event_CPU1;timestamp_us;25_PCI-MSI_65536-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU2;THR_Threshold_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;TRM_Thermal_event_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;LOC_Local_timer_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;1_IO-APIC_1-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;IWI_IRQ_work_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;CAL_Function_call_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RES_Rescheduling_interrupts_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCP_Machine_check_polls_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU2;MCE_Machine_check_exceptions_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;6_IO-APIC_6-edge_floppy_CPU0;NPI_Nested_posted-interrupt_event_CPU1
0;0;60576;0;0;0;362557;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;11012001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;363946;4;0;0;0;9;0;0;0;442602;0;2;0;0;0;0;10;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;362809;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;12013013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;364196;4;0;0;0;9;0;0;0;443793;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;363060;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;13014046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;364446;4;0;0;0;9;0;0;0;444982;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;363311;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;14015059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;364697;4;0;0;0;9;0;0;0;446172;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;363562;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;15016080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;364949;4;0;0;0;9;0;0;0;447359;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;363814;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;16017102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;365199;4;0;0;0;9;0;0;0;448547;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;364065;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;17018128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;365449;4;0;0;0;9;0;0;0;449735;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;364316;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;18019144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;365699;4;0;0;0;9;0;0;0;450923;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;364567;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;19020173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;365950;4;0;0;0;9;0;0;0;452111;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;364819;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;20021184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;366200;4;0;0;0;9;0;0;0;453299;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
0;0;60576;0;0;0;365070;15;0;0;0;0;0;0;3;0;9851;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;56799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9850;0;0;0;21022221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;366451;4;0;0;0;9;0;0;0;454487;0;2;0;0;0;0;11;0;1;0;0;0;0;0;0;0;2;0
