PIW_Posted-interrupt_wakeup_event_CPU1;MCP_Machine_check_polls_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;MCE_Machine_check_exceptions_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TRM_Thermal_event_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;PMI_Performance_monitoring_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;LOC_Local_timer_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;THR_Threshold_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;IWI_IRQ_work_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU0;ERR_CPU0;TLB_TLB_shootdowns_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;IWI_IRQ_work_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU1;RTR_APIC_ICR_read_retries_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;MCP_Machine_check_polls_CPU2;CAL_Function_call_interrupts_CPU2;LOC_Local_timer_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;CAL_Function_call_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;MIS_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;NMI_Non-maskable_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;timestamp_us;10_IO-APIC_10-fasteoi_virtio2_CPU2;IWI_IRQ_work_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;RTR_APIC_ICR_read_retries_CPU0;CAL_Function_call_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;THR_Threshold_APIC_interrupts_CPU0;MCP_Machine_check_polls_CPU1;12_IO-APIC_12-edge_i8042_CPU0;6_IO-APIC_6-edge_floppy_CPU0;MCE_Machine_check_exceptions_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU2;TLB_TLB_shootdowns_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RTR_APIC_ICR_read_retries_CPU1;THR_Threshold_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;NPI_Nested_posted-interrupt_event_CPU1;NMI_Non-maskable_interrupts_CPU2;RES_Rescheduling_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;12_IO-APIC_12-edge_i8042_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;NMI_Non-maskable_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;PIN_Posted-interrupt_notification_event_CPU2;6_IO-APIC_6-edge_floppy_CPU1;SPU_Spurious_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;TLB_TLB_shootdowns_CPU2
0;1;0;0;0;0;0;0;0;0;0;0;238538;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;239679;0;0;0;1;8906;238267;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;11011964;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;238789;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;239931;0;0;0;1;8906;238518;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;12012988;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;239041;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;240181;0;0;0;1;8906;238768;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;13014005;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;239292;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;240431;0;0;0;1;8906;239018;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;14015031;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;239543;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;240682;0;0;0;1;8906;239268;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;15016052;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;239794;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;240932;0;0;0;1;8906;239519;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;16017084;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;240046;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;241182;0;0;0;1;8906;239769;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;17018105;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;240297;0;0;44160;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;241432;0;0;0;1;8906;240019;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;18019123;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43372;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;240548;0;0;44162;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;241683;0;0;0;1;8906;240269;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;19020159;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43374;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;240799;0;0;44164;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;241934;0;0;0;1;8906;240520;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;20021187;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43405;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
0;1;0;0;0;0;0;0;0;0;0;0;241051;0;0;44164;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;242184;0;0;0;1;8906;240770;0;3;0;0;0;0;0;0;0;8907;0;0;9;0;0;0;0;0;0;0;21022199;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;43405;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0
