NPI_Nested_posted-interrupt_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;RTR_APIC_ICR_read_retries_CPU2;MCE_Machine_check_exceptions_CPU0;LOC_Local_timer_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;ERR_CPU0;6_IO-APIC_6-edge_floppy_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RES_Rescheduling_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;RES_Rescheduling_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;TLB_TLB_shootdowns_CPU2;MCP_Machine_check_polls_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;RES_Rescheduling_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;THR_Threshold_APIC_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;TRM_Thermal_event_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;1_IO-APIC_1-edge_i8042_CPU1;IWI_IRQ_work_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;TRM_Thermal_event_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;MCP_Machine_check_polls_CPU0;LOC_Local_timer_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;PMI_Performance_monitoring_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;CAL_Function_call_interrupts_CPU1;MIS_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;12_IO-APIC_12-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;PIN_Posted-interrupt_notification_event_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;SPU_Spurious_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;NPI_Nested_posted-interrupt_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;NMI_Non-maskable_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;IWI_IRQ_work_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;PIN_Posted-interrupt_notification_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;CAL_Function_call_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;SPU_Spurious_interrupts_CPU0;timestamp_us;PIW_Posted-interrupt_wakeup_event_CPU1;LOC_Local_timer_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;PIN_Posted-interrupt_notification_event_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;1_IO-APIC_1-edge_i8042_CPU2;MCE_Machine_check_exceptions_CPU2;MCP_Machine_check_polls_CPU2;TRM_Thermal_event_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;CAL_Function_call_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1
0;0;0;0;304084;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;305042;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44360;0;0;0;0;0;0;0;0;0;0;0;0;11011957;0;303549;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;304335;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;305295;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;12012991;0;303799;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;304587;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;305546;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;13014009;0;304050;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;304838;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;305796;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;14015039;0;304300;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;305089;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;306046;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;15016055;0;304550;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;305340;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;306297;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;16017073;0;304800;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;305592;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;306547;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;17018098;0;305051;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;305843;0;0;0;0;0;0;44251;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;306797;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44362;0;0;0;0;0;0;0;0;0;0;0;0;18019117;0;305301;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;306094;0;0;0;0;0;0;44253;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;307047;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44364;0;0;0;0;0;0;0;0;0;0;0;0;19020153;0;305551;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;306345;0;0;0;0;0;0;44286;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;307300;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44367;0;0;0;0;0;0;0;0;0;0;0;0;20021177;0;305801;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
0;0;0;0;306597;0;0;0;0;0;0;44286;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;15;1;307550;0;0;0;0;2;0;8907;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;44367;0;0;0;0;0;0;0;0;0;0;0;0;21022193;0;306052;0;0;0;0;0;0;0;0;1;0;0;0;8906;0
